CS?,Spec Name,Spec Type,Attribute Path,Attribute Type,PK?,Idx?,Lcl?,Lnk?,Min,Max,Edit?,NP?,Default,Length,Hidden?,RULE,fr_FR DisplayName
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_TRACTION/DD_COMPETENCE_TRACTION,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Compétence Traction"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,COMPETENCES_TRACTION/DF_COMPETENCE_TRACTION,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Compétence Traction"

,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ID_ETABLISSEMENT_ACTUEL,INTEGER,,yes,,,,,,,,10,,,"Id Etablissement Actuel"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ETABLISSEMENTS,GROUPING,,,,,0,50,,,,,,,"Liste d'Etablissements"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ETABLISSEMENTS/ID_ETABLISSEMENT,RELATIONSHIP,,yes,,,,,,,,,,,"Id Etablissement"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ETABLISSEMENTS/DD_ETABLISSEMENT,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Etablissement"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,ETABLISSEMENTS/DF_ETABLISSEMENT,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Etablissement"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,UOS,GROUPING,,,,,0,50,,,,,,,"Liste d'UOS"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,UOS/ID_UO,LOOKUP_TABLE,,yes,,Lkp_NewRef_UO,,1,,,,,,,"Id UO"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,UOS/DD_UO,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début UO"
,SpecCtg_NewRef_Agent,PRIMARY_SPEC,UOS/DF_UO,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin UO"

,SpecLkp_NewRef_FamilleAgent,LKP_SPEC,CODE_FAMILLE,STRING,yes,yes,,,,,,,,80,,,"Code Famille"
,SpecLkp_NewRef_FamilleAgent,LKP_SPEC,LIBELLE_FAMILLE,STRING,,yes,,,,,,,,80,,,"Libellé Famille"

,SpecLkp_NewRef_TypologieAgent,LKP_SPEC,CODE_TYPOLOGIE_AGENT,STRING,yes,yes,,,,,,,,80,,,"Code Typologie Agent"
,SpecLkp_NewRef_TypologieAgent,LKP_SPEC,LIBELLE_TYPOLOGIE_AGENT,STRING,,yes,,,,,,,,80,,,"Libellé Typologie Agent"

,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,ID_ETABLISSEMENT,INTEGER,yes,yes,,,,,,,,10,,,"Identifiant Etablissement"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,LIB_COURT_ETABLISSEMENT,STRING,,yes,,,,,,,,80,,,"Libellé Court Etablissement"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,TRIGRAMME_ETABLISSEMENT,STRING,,yes,,,,,,,,3,,,"Trigramme Etablissement"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,CATEGORIE_ETABLISSEMENT,STRING,,yes,,,,,,,,80,,,"Categorie Etablissement"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS,GROUPING,,,,,0,50,,,,,,,"Liste d'UOS"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/ID_UO,LOOKUP_TABLE,,yes,,Lkp_NewRef_UO,,1,,,,,,,"Id UO"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/DD_UO,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début UO"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/DF_UO,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin UO"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/EQUIPES,GROUPING,,,,,0,50,,,,,,,"Liste d'Equipes"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/EQUIPES/EQUIPE_TRAIN,LOOKUP_TABLE,,yes,,Lkp_NewRef_EquipeTrain,,1,,,,,,,"Equipe"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/EQUIPES/EQUIPE_TRACTION,LOOKUP_TABLE,,,,Lkp_NewRef_EquipeTraction,,1,,,,,,,"Equipe"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/EQUIPES/DD_EQUIPE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Equipe"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/EQUIPES/DF_EQUIPE,DATE,,,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Equipe"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/EQUIPES/AGENTS,GROUPING,,,,,0,50,,,,,,,"Liste d'Equipes"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/EQUIPES/AGENTS/ID_AGENT,STRING,yes,yes,,,,,yes,,,80,,,"Identifiant Agent"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/EQUIPES/AGENTS/NOM,STRING,,,,,,,,,,80,,,"Nom Agent"
,SpecCtg_NewRef_Etablissement,PRIMARY_SPEC,UOS/EQUIPES/AGENTS/PRENOM,STRING,,,,,,,,,,80,,,"Prénom Agent"

,SpecLkp_NewRef_Residence,LKP_SPEC,ID_RESIDENCE,STRING,yes,yes,,,,,,,,3,,,"Identifiant Résidence"
,SpecLkp_NewRef_Residence,LKP_SPEC,LIBELLE_RESIDENCE,STRING,,yes,,,,,,,,80,,,"Libellé Résidence"
,SpecLkp_NewRef_Residence,LKP_SPEC,ID_ETAB_RATTACHEMENT,INTEGER,,yes,,,,,,,,10,,,"Identifiant Etablissement"

,SpecLkp_NewRef_CompetenceLangues,LKP_SPEC,CODE_LANGUE,STRING,yes,yes,,,,,,,,2,,,"Code Langue"
,SpecLkp_NewRef_CompetenceLangues,LKP_SPEC,LIBELLE_LANGUE,STRING,,yes,,,,,,,,80,,,"Libellé Langue"
,SpecLkp_NewRef_CompetenceLangues,LKP_SPEC,DDV_LANGUE,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Validité"
,SpecLkp_NewRef_CompetenceLangues,LKP_SPEC,DFV_LANGUE,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Validité"

,SpecLkp_NewRef_CompetenceTrain,LKP_SPEC,CODE_TRAIN,STRING,yes,yes,,,,,,,,80,,,"Code Compétence Train"
,SpecLkp_NewRef_CompetenceTrain,LKP_SPEC,LIBELLE_TRAIN,STRING,,yes,,,,,,,,80,,,"Libellé Compétence Train"
,SpecLkp_NewRef_CompetenceTrain,LKP_SPEC,DDV_TRAIN,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Validité"
,SpecLkp_NewRef_CompetenceTrain,LKP_SPEC,DFV_TRAIN,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Validité"

,SpecLkp_NewRef_CompetenceTraction,LKP_SPEC,CODE_TRACTION,STRING,yes,yes,,,,,,,,80,,,"Code Compétence Traction"
,SpecLkp_NewRef_CompetenceTraction,LKP_SPEC,LIBELLE_TRACTION,STRING,,yes,,,,,,,,80,,,"Libellé Compétence Traction"
,SpecLkp_NewRef_CompetenceTraction,LKP_SPEC,DDV_TRACTION,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Validité"
,SpecLkp_NewRef_CompetenceTraction,LKP_SPEC,DFV_TRACTION,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Fin Validité"

,SpecLkp_NewRef_EquipeTrain,LKP_SPEC,ID_EQUIPE_TRAIN,INTEGER,yes,yes,,,,,,,,10,,,"Identifiant Equipe Train"
,SpecLkp_NewRef_EquipeTrain,LKP_SPEC,LIBELLE_EQUIPE_TRAIN,STRING,,yes,,,,,,,,80,,,"Libellé Equipe Train"
,SpecLkp_NewRef_EquipeTrain,LKP_SPEC,ID_UO,LOOKUP_TABLE,,,,Lkp_NewRef_UO,,1,,,,,,,"Identifiant UO"
,SpecLkp_NewRef_EquipeTrain,LKP_SPEC,RET_NUM_CP,STRING,,yes,,,,,,,,80,,,"RET Num CP"
,SpecLkp_NewRef_EquipeTrain,LKP_SPEC,DATE_DEBUT_AFFECTATION,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Affectation"
,SpecLkp_NewRef_EquipeTrain,LKP_SPEC,DATE_FIN_AFFECTATION,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy~=~DEFAULT_VALUE_RULE|res=new Date(""dd/MM/yyyy"", ""31/12/2300"");","Date Fin Affectation"

,SpecLkp_NewRef_EquipeTraction,LKP_SPEC,ID_EQUIPE_TRACTION,INTEGER,yes,yes,,,,,,,,10,,,"Identifiant Equipe Traction"
,SpecLkp_NewRef_EquipeTraction,LKP_SPEC,LIBELLE_EQUIPE_TRACTION,STRING,,yes,,,,,,,,80,,,"Libellé Equipe Traction"
,SpecLkp_NewRef_EquipeTraction,LKP_SPEC,ID_UO,LOOKUP_TABLE,,,,Lkp_NewRef_UO,,1,,,,,,,"Identifiant UO"
,SpecLkp_NewRef_EquipeTraction,LKP_SPEC,CTT_NUM_CP,STRING,,yes,,,,,,,,80,,,"CTT Num CP"
,SpecLkp_NewRef_EquipeTraction,LKP_SPEC,DATE_DEBUT_AFFECTATION,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy","Date Début Affectation"
,SpecLkp_NewRef_EquipeTraction,LKP_SPEC,DATE_FIN_AFFECTATION,DATE,,yes,,,,,,,,,,"DATEONLY|TRUE~=~DATE_FORMAT|dd/MM/yyyy~=~DEFAULT_VALUE_RULE|res=new Date(""dd/MM/yyyy"", ""31/12/2300"");","Date Fin Affectation"

,SpecLkp_NewRef_NumRecette,LKP_SPEC,ID_POINT_DE_VENTE,INTEGER,yes,yes,,,,,,,,10,,,"Identifiant Point De Vente"
,SpecLkp_NewRef_NumRecette,LKP_SPEC,NUM_RECETTE,INTEGER,,yes,,,,,,,,10,,,"Num Recette"
,SpecLkp_NewRef_NumRecette,LKP_SPEC,NUM_CP,STRING,,yes,,,,,,,,3,,,"Num CP"

,SpecLkp_NewRef_PointDeVente,LKP_SPEC,ID_POINT_DE_VENTE,INTEGER,yes,yes,,,,,,,,10,,,"Identifiant Point De Vente"
,SpecLkp_NewRef_PointDeVente,LKP_SPEC,LIBELLE_POINT_DE_VENTE,STRING,,yes,,,,,,,,80,,,"Libellé Point De Vente"

,SpecLkp_NewRef_CategorieEtablissement,LKP_SPEC,ID_CATEGORIE_ETABLISSEMENT,STRING,yes,yes,,,,,,,,80,,,"Identifiant Catégorie Etablissement"
,SpecLkp_NewRef_CategorieEtablissement,LKP_SPEC,LIBELLE_CATEGORIE_ETABLISSEMENT,STRING,,yes,,,,,,,,80,,,"Libellé Catégorie Etablissement"

,SpecLkp_NewRef_UO,LKP_SPEC,ID_UO,INTEGER,yes,yes,,,,,,,,10,,,"Identifiant UO"
,SpecLkp_NewRef_UO,LKP_SPEC,LIB_UO,STRING,,yes,,,,,,,,80,,,"Libellé UO"
,SpecLkp_NewRef_UO,LKP_SPEC,DUO_NUM_CP_UO,STRING,,yes,,,,,,,,80,,,"DUO : Num CP"
,SpecLkp_NewRef_UO,LKP_SPEC,DUO_NOM,STRING,,yes,,,,,,,,80,,,"DUO : Nom"
,SpecLkp_NewRef_UO,LKP_SPEC,DUO_PRENOM,STRING,,yes,,,,,,,,80,,,"DUO : Prenom"
,SpecLkp_NewRef_UO,LKP_SPEC,LIB_ETAB_RATTACHEMENT,STRING,,yes,,,,,,,,80,,,"Libellé Etablissement Rattachement"
